Store;DayOfWeek;Date;Sales;Customers;Open;Promo;StateHoliday;SchoolHoliday
1;2;01/01/2013;0;0;0;0;a;1
1;3;02/01/2013;5530;668;1;0;0;1
1;4;03/01/2013;4327;578;1;0;0;1
1;5;04/01/2013;4486;619;1;0;0;1
1;6;05/01/2013;4997;635;1;0;0;1
1;7;06/01/2013;0;0;0;0;0;1
1;1;07/01/2013;7176;785;1;1;0;1
1;2;08/01/2013;5580;654;1;1;0;1
1;3;09/01/2013;5471;626;1;1;0;1
1;4;10/01/2013;4892;615;1;1;0;1
1;5;11/01/2013;4881;592;1;1;0;1
1;6;12/01/2013;4952;646;1;0;0;0
1;7;13/01/2013;0;0;0;0;0;0
1;1;14/01/2013;4717;616;1;0;0;0
1;2;15/01/2013;3900;512;1;0;0;0
1;3;16/01/2013;4008;530;1;0;0;0
1;4;17/01/2013;4044;503;1;0;0;0
1;5;18/01/2013;4127;568;1;0;0;0
1;6;19/01/2013;5182;688;1;0;0;0
1;7;20/01/2013;0;0;0;0;0;0
1;1;21/01/2013;5394;607;1;1;0;0
1;2;22/01/2013;5720;667;1;1;0;0
1;3;23/01/2013;5578;627;1;1;0;0
1;4;24/01/2013;5195;645;1;1;0;0
1;5;25/01/2013;5586;676;1;1;0;0
1;6;26/01/2013;5598;640;1;0;0;0
1;7;27/01/2013;0;0;0;0;0;0
1;1;28/01/2013;4055;549;1;0;0;0
1;2;29/01/2013;3725;522;1;0;0;0
1;3;30/01/2013;4601;560;1;0;0;0
1;4;31/01/2013;4709;571;1;0;0;0
1;5;01/02/2013;5633;658;1;0;0;0
1;6;02/02/2013;5970;701;1;0;0;0
1;7;03/02/2013;0;0;0;0;0;0
1;1;04/02/2013;7032;762;1;1;0;0
1;2;05/02/2013;6049;678;1;1;0;0
1;3;06/02/2013;6140;693;1;1;0;0
1;4;07/02/2013;5499;675;1;1;0;0
1;5;08/02/2013;5681;630;1;1;0;0
1;6;09/02/2013;5370;656;1;0;0;0
1;7;10/02/2013;0;0;0;0;0;0
1;1;11/02/2013;4409;599;1;0;0;0
1;2;12/02/2013;4015;572;1;0;0;0
1;3;13/02/2013;4252;604;1;0;0;0
1;4;14/02/2013;4241;573;1;0;0;0
1;5;15/02/2013;4809;607;1;0;0;0
1;6;16/02/2013;6154;682;1;0;0;0
1;7;17/02/2013;0;0;0;0;0;0
1;1;18/02/2013;6407;710;1;1;0;0
1;2;19/02/2013;5386;608;1;1;0;0
1;3;20/02/2013;5660;684;1;1;0;0
1;4;21/02/2013;5261;629;1;1;0;0
1;5;22/02/2013;5000;599;1;1;0;0
1;6;23/02/2013;5237;650;1;0;0;0
1;7;24/02/2013;0;0;0;0;0;0
1;1;25/02/2013;4038;534;1;0;0;0
1;2;26/02/2013;3794;525;1;0;0;0
1;3;27/02/2013;4558;579;1;0;0;0
1;4;28/02/2013;4676;581;1;0;0;0
1;5;01/03/2013;4611;584;1;0;0;0
1;6;02/03/2013;5350;678;1;0;0;0
1;7;03/03/2013;0;0;0;0;0;0
1;1;04/03/2013;7675;840;1;1;0;0
1;2;05/03/2013;6300;715;1;1;0;0
1;3;06/03/2013;5973;678;1;1;0;0
1;4;07/03/2013;5637;702;1;1;0;0
